cod_producto,nombre_producto,categoria_producto,subcategoria_producto,precio_unitario
PROD00001,LIMPIA TAPICERÍA EN ESPUMA BINNER ,ASEO DE HOGAR,ALFOMBRAS,779.50
PROD00002,LIMPIA TAPICERÍA Y ALFOMBRAS BINNER ,ASEO DE HOGAR,ALFOMBRAS,699.65
PROD00003,LIMPIADOR DR. BECKMANN ALFOMBRAS 2EN1 PODER OXI ,ASEO DE HOGAR,ALFOMBRAS,825.65
PROD00004,ACEITE BON AIRE ELÉCTRICO PERFUME FLORES ,ASEO DE HOGAR,AMBIENTADORES,749.50
PROD00005,AMBIENTADOR AIRE VARITAS BAMBÚ BONAIRE 2 REPUESTOS ,ASEO DE HOGAR,AMBIENTADORES,1749.50
PROD00006,AMBIENTADOR AUTO SPRAY CARRO NUEVO BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,409.50
PROD00007,AMBIENTADOR BON AIRE ELECTRA OÍL VAINILLA ,ASEO DE HOGAR,AMBIENTADORES,719.50
PROD00008,AMBIENTADOR BON AIRE TOQUE ÚNICO FANTASÍA FLORAL ,ASEO DE HOGAR,AMBIENTADORES,363.65
PROD00009,AMBIENTADOR BONAIRE CONCENTRADO TROPICAL BREEZE ,ASEO DE HOGAR,AMBIENTADORES,389.50
PROD00010,AMBIENTADOR BONAIRE FANTASÍA FLORAL + REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,1449.50
PROD00011,AMBIENTADOR BONAIRE FRUTOS ROJOS ,ASEO DE HOGAR,AMBIENTADORES,799.50
PROD00012,AMBIENTADOR BONAIRE VAINILLA FRESA ,ASEO DE HOGAR,AMBIENTADORES,799.50
PROD00013,AMBIENTADOR BONAIRE VAINILLA SEDUCCIÓN + REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,1449.50
PROD00014,AMBIENTADOR BONAIRE VARITAS FRUTOS ROJOSX80MLX2UND,ASEO DE HOGAR,AMBIENTADORES,1749.50
PROD00015,AMBIENTADOR BONAIRE VARITAS VAINILLA ,ASEO DE HOGAR,AMBIENTADORES,1749.50
PROD00016,AMBIENTADOR BRIZE MANZANA VERDE CITICA FRUTAL BOSQUE AEROSOL ,ASEO DE HOGAR,AMBIENTADORES,825.65
PROD00017,AMBIENTADOR BRIZZE FRUTOS BOSQUE PALITOS ,ASEO DE HOGAR,AMBIENTADORES,734.65
PROD00018,AMBIENTADOR BRIZZE PALITOS DE RATTAN VAINILLA ,ASEO DE HOGAR,AMBIENTADORES,524.65
PROD00019,AMBIENTADOR BRIZZE PASIÓN TROPICAL PALITOS ,ASEO DE HOGAR,AMBIENTADORES,909.65
PROD00020,AMBIENTADOR DELICIAS VAILLA PLTOS BRIZZE ,ASEO DE HOGAR,AMBIENTADORES,1224.65
PROD00021,AMBIENTADOR ELÉCTRICO LIQUIDO LAVANDA Y FLOR DE DURAZNO GLADE ACEITES NATURALES 1 APARATO + 1 REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,503.65
PROD00022,AMBIENTADOR ELÉCTRICO LIQUIDO MANZANA Y CANELA GLADE ACEITES NATURALES 1 APARATO + 1 REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,503.65
PROD00023,AMBIENTADOR EN GEL DE BOLSA PARA ESPACIOS PEQUEÑOS MANZANA Y CANELA GLADE ,ASEO DE HOGAR,AMBIENTADORES,94.15
PROD00024,AMBIENTADOR GLADE ABRAZOS VAINILLA LÍQUIDO REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,734.65
PROD00025,AMBIENTADOR GLADE ACEITES NATURALES Y ALEGRÍA FLORAL REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,503.65
PROD00026,AMBIENTADOR GLADE ALEGRÍA FLORAL LÍQUIDO REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,755.65
PROD00027,AMBIENTADOR GLADE AUTOMÁTICO PRECIO ESPECIAL ,ASEO DE HOGAR,AMBIENTADORES,1154.65
PROD00028,AMBIENTADOR GLADE SURTIDO AEROSOL ,ASEO DE HOGAR,AMBIENTADORES,1024.50
PROD00029,AMBIENTADOR GLADE TOQUE MANZANA+ REPUESTOX 2 UND ,ASEO DE HOGAR,AMBIENTADORES,615.65
PROD00030,AMBIENTADOR SPRAY FRESCURA AMBIENTAL BABY FRESH BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,549.50
PROD00031,AMBIENTADOR SPRAY FRESCURA AMBIENTAL CANELA BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,459.50
PROD00032,AMBIENTADOR SPRAY FRESCURA AMBIENTAL FRUTOS ROJOS BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,519.50
PROD00033,AMBIENTADOR SPRAY FRESCURA AMBIENTAL SURTIDO BONAIRE 3 UND ,ASEO DE HOGAR,AMBIENTADORES,1099.50
PROD00034,AMBIENTADOR VARITAS FRESCURA CITRONELA BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,949.50
PROD00035,AMBIENTADOR VARITAS FRESCURA FRUTOS ROJOS BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,949.50
PROD00036,AMBIENTADOR VARITAS FRESCURA LAVANDA MANZANILLA BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,949.50
PROD00037,AMBIENTADOR VARITAS FRESCURA POMELO BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,949.50
PROD00038,AMBIENTADOR VARITAS FRESCURA VAINILLA BONAIRE ,ASEO DE HOGAR,AMBIENTADORES,949.50
PROD00039,AROMATIZANTE AIR WICK PURE AEROSOL FLORAL MAGNOLIA ,ASEO DE HOGAR,AMBIENTADORES,328.65
PROD00040,AROMATIZANTE AIR WICK PURE AEROSOL FRESCO ,ASEO DE HOGAR,AMBIENTADORES,328.65
PROD00041,AROMATIZANTE AIR WICK PURE FLOR MAGNOLIA APARATO + REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,545.65
PROD00042,AROMATIZANTE AIR WICK PURE FLORES DE MAGNOLIA ,ASEO DE HOGAR,AMBIENTADORES,1049.65
PROD00043,AROMATIZANTE AIR WICK PURE REPUESTO SUAVIDAD ,ASEO DE HOGAR,AMBIENTADORES,685.65
PROD00044,AROMATIZANTE AIR WICK PURE REPUESTO SUAVIDAD ALGODÓN ,ASEO DE HOGAR,AMBIENTADORES,1049.65
PROD00045,AROMATIZANTE AIR WICK PURE SUAVE APARATO + REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,545.65
PROD00046,AROMATIZANTE DE AMBIENTE EN AEROSOL AUTOMÁTICO 3 EN 1 HAWAIIAN BREEZE GLADE 1 APARATO + 1 REPUESTO ,ASEO DE HOGAR,AMBIENTADORES,1119.65
PROD00047,AROMATIZANTE DE AMBIENTE EN AEROSOL CAMPOS DE LAVANDA ROCIADO FÁCIL GLADE ,ASEO DE HOGAR,AMBIENTADORES,321.65
